no,"Joe biden rules out 2020 bid: 'guys, i'm not running'"
no,Watch: darvish gave hitter whiplash with slow pitch
yes,What do you call a turtle without its shell? dead.
no,5 reasons the 2016 election feels so personal
no,"Pasco police shot mexican migrant from behind, new autopsy shows"
no,"Martha stewart tweets hideous food photo, twitter responds accordingly"
yes,What is a pokemon master's favorite kind of pasta? wartortellini!
yes,Why do native americans hate it when it rains in april? because it brings mayflowers.
no,"Obama's climate change legacy is impressive, imperfect and vulnerable"
yes,"My family tree is a cactus, we're all pricks."
no,Donald trump has found something mysterious for rudy giuliani to do
no,How donald trump and ted cruz's love affair is all relationships
no,Want to know why athletes chose to #takeaknee? look at our broken justice system
yes,How are music and candy similar? we throw away the rappers.
no,Famous couples who help each other stay healthy and fit
no,Study finds strong link between zika and guillain-barre syndrome
no,Alec baldwin and wife hilaria welcome another baby boy
no,"Trump says iran is complying with nuclear deal, but remains a dangerous threat"
no,Kim kardashian baby name: reality star discusses the 'k' name possibility (video)
yes,"I just ended a 5 year relationship i'm fine, it wasn't my relationship :p"
no,Here's what the oscar nominations should look like
yes,Dating tip: surprise your date! show up a day early.
no,Reflections from davos: leaders deliberate what's next for climate action after paris deal
yes,What do you call an explanation of an asian cooking show? a wok-through.
no,Swimming toward a brighter future: how i was introduced to the world of autism
yes,Why did little miss muffet have gps on her tuffet? to keep her from losing her whey.
no,The pixelated 'simpsons' should be a real couch gag
yes,All pants are breakaway pants if you're angry enough
no,Watch: former british open champ makes embarrassing putting fail
no,Chrissy teigen's 2015 grammy dress is skintight and perfect
yes,"Ugh, i just spilled red wine all over the inside of my tummy."
no,The next iphone update will help you save lives
no,Celebrating the fourth of july with airport profiling
no,"The big bend, a u-shaped skyscraper, could become the longest in the world"
no,Oscars 2016 red carpet: all the stunning looks from the academy awards
yes,Why do jews have big noses? because the air is free
yes,Interesting fact: by the year 2020 all actors on american tv shows will be australian.
yes,I'd tell you a chemistry joke but i know i won't get a reaction
no,Arkansas approves law to let people carry guns in bars and at public colleges
no,On set with paul mitchell: from our network
yes,Did you know diarrhea is genetic? it runs in your jeans
yes,"My sons ebola joke what do africans have for breakfast? ebola cereal :) (be kind,he's only 14 lol)"
yes,What was the sci-fi remake of a streetcar named desire? interstelllllllaaaaaaar
yes,What do you call a clan of barbarians you cant see? invisigoths
yes,How do you know if someone is using recursion?
yes,Why shouldn't you change around a pokemon? because he might peek at chu.
no,Stolen moment of the week: andy ofiesh and kaytlin bailey at the creek and the cave
no,Obama welcomes pope francis to the white house
yes,What do chicken families do on saturday afternoon? they go on peck-nics !
no,Hiring a cleaning company: a how-to for everyone who wants to go green
no,Explore america’s stunning marine sanctuaries without getting wet
no,Do you show up in life in all your amazing glory?
yes,What does jcpenny and teenagers have in common? pants 50% off
yes,Has a conversation in my head - cackles with mirth
no,Valentine's dinner stress: 4 things not to worry about
no,Broadway stars join forces to fight north carolina's anti-lgbt law
